,La,Li,E(ISIF3)
27,3,0,-735.54030733
26,2,0,-735.52158796
53,2,0,-735.45980099
28,4,0,-735.52731183
29,2,0,-735.51779596
30,2,0,-735.52344697
32,2,0,-735.55427379
33,2,0,-735.5118409
34,4,0,-735.54047544
35,2,0,-735.55897632
36,2,0,-735.52353517
38,3,0,-735.59416329
39,2,0,-735.52375638
40,4,0,-735.66368429
41,3,0,-735.55747837
44,3,0,-735.54476582
46,4,0,-735.68200544
47,3,0,-735.54505159
50,2,0,-735.45219011
52,4,0,-735.49284585
25,1,0,-735.49241112
24,3,0,-735.54916395
54,2,0,-735.45069618
22,4,0,-735.46185637
3,2,0,-735.5451932
5,4,0,-735.73493991
6,2,0,-735.55660266
23,2,0,-735.49614017
11,4,0,-735.49941792
12,2,0,-735.52873991
15,2,0,-735.43304488
9,2,0,-735.52999678
16,4,0,-735.54552625
20,2,0,-735.50585273
14,2,1,-735.4930208
51,2,1,-735.45149056
21,2,1,-735.47440178
48,2,1,-735.4525535
4,2,1,-735.50633187
45,3,1,-735.55903006
19,1,1,-735.51344873
31,0,1,-735.35876568
1,2,1,-735.49941003
7,2,1,-735.58404144
8,0,1,-735.39701987
18,2,1,-735.47207313
10,2,1,-735.55185953
37,1,1,-735.52363132
17,2,1,-735.48046131
42,3,1,-735.56240332
49,0,2,-735.43985446
13,0,2,-735.47095376
2,0,2,-735.39217026
43,1,2,-735.57032097
